"NOME","NUM","SEQ","SENTIDO","ITINERARY_ID","COD"
"Rua Alberto Otto, 1143 - Cachoeira","121008","1","Terminal Sta. Cândida","1821","236"
"Rua David Bodziak, 1030 - Cachoeira","120568","1","Terminal Barreirinha","588","242"
"Terminal Barreirinha - 242 - Vila Leonice","104109","1","V. Leonice","589","242"
"Rua João Batista Maier, 89 - Abranches","120138","1","Terminal Barreirinha","591","243"
"Terminal Barreirinha - 243 - Santa Terezinha","104110","1","Santa Terezinha","590","243"
"Terminal Barreirinha - 244 - Jardim do Arroio","104104","1","Jardim Arroio","593","244"
"R. Estevão Manika, 424 - Santa Candida","120995","1","Terminal Barreirinha","592","244"
"Terminal Cabral - 245 - Anita Garibaldi","104401","1","Terminal Barreirinha","10313","245"
"Rua Flávio Dallegrave, 10800 - Cachoeira","120197","1","Terminal Cabral","6609","245"
"Terminal Barreirinha - 245 - Anita Garibaldi","104102","1","Terminal Cabral","10293","245"
"Terminal Cabral - 245 - Anita Garibaldi","104401","1","Anita Garibaldi","6610","245"
"Terminal Barreirinha - 256 - Barreirinha / Guadalupe","109078","1","Terminal Guadalupe","10453","256"
"Estação Tubo Guadalupe -256-Barreirinha / Guadalupe, 505-Boqueirão/C.Cívico, 508-Sítio Cercado","109031","1","Terminal Barreirinha","7371","256"
"Marechal Floriano Peixoto - 160 - Marechal Hermes / Santa Efigênia","103271","1","Mal. Hermes/Sta Efigênia","595","260"
"Rua Joel Jensem Júnior, 1 - Barreirinha","120422","1","Praça Carlos Gomes","594","260"
"Rua Santo Afonso de Ligório, 288 - Cabral","120958","1","Los Angeles","597","265"
"Rua Jaime Veiga, 302 - Seminário","180899","1","Ahú","596","265"
"Rua Carlota Straube de Araújo, 1417 - Boa Vista","120648","1","Moreira Garcez","599","266"
"Trav. Moreira Garcês - 266 - Estribo Ahú","101167","1","Estribo Ahú","598","266"
"Rua Manoel Aristides de Farias, 166 - Barreirinha","120148","1","Moreira Garcez","605","272"
"Trav. Moreira Garcês - 272 - Paineiras","101166","1","Paineiras","604","272"
"Trav. Moreira Garcês - 274 - Santa Gema","101162","1","Sta Gema","606","274"
"Rua Prof. Leonardo Cobe, 955 - Barreirinha","120784","1","Moreira Garcez","607","274"
"Trav. Moreira Garcês - 270 - Fernando de Noronha","101163","1","Fernando de Noronha","8333","275"
"Rua Engenheiro Luiz Augusto Leão Fonseca, 220 - Santa Candida","120170","1","Moreira Garcez (Domingos)","8413","275"
"Trav. Moreira Garcês - 270 - Fernando de Noronha","101163","1","Fernando de Noronha (Domingos)","8433","275"
"Rua Engenheiro Luiz Augusto Leão Fonseca, 220 - Santa Candida","120170","1","Moreira Garcez","8334","275"
"Trav. Moreira Garcês - 270 - Fernando de Noronha","101163","1","Fernando de Noronha (Domingos)","8434","275"
"Trav. Moreira Garcês - 270 - Fernando de Noronha","101163","1","Fernando de Noronha","8393","275"
